parameter,value,,,,
k1_1,6.00E-06,,,,
k1_2,0.06,,,,
k1_3,60,,,,
k1_4,6.00E-06,,,,
k1_5,0.06,,,,
k1_6,60,,,,
k1_7,1.07E-03,,,,
k1_8,1.41,,,,
k1_9,60,,,,
k1_10,1.07E-03,,,,
k1_11,1.41,,,,
k1_12,60,,,,
k1_13,0.00006,,,,
k1_14,0.06,,,,
k1_15,5.50E-05,,,,
k1_16,4.40E-04,,,,
k1_17,4.48E-05,,,,
k1_18,1.12E-04,,,,
k1_19,7.80E-06,,,,
k1_20,2.17E-03,,,,
k1_21,8.63E-05,,,,
k1_22,4.40E-04,,,,
k1_23,4.91E-05,,,,
k1_24,1.57E-04,,,,
k1_25,1.63E-04,,,,
k1_26,5.21E-03,,,,
k1_27,1.68E-04,,,,
k1_28,1.39E-03,,,,
k1_29,0.0116,,,,
k1_30,0.116,,,,
k1_31,1.16E-02,,,,
k1_32,1.16E-03,,,,
k1_33,1.16E-02,,,,
k1_34,1.16E-03,,,,
k1_35,1.16E-02,,,,
k1_36,1.16E-03,,,,
k1_37,0.01155245,,,,
k1_38,0.00115525,,,,
k1_39,0.0115525,,,,
k1_40,0.00115525,,,,
k1_41,0.0115525,,,,
k1_42,0.00115525,,,,
k1_43,2.07E-03,,,,
k1_44,6.00E-02,,,,
k1_45,6.00E+01,,,,
k1_46,0.000006,,,,
k1_47,0.06,,,,
k1_48,60,,,,
k1_49,6.00E-06,,,,
k1_50,6.00E-02,,,,
k1_51,6.00E+01,,,,
k1_52,6.00E-09,,,,
k1_53,6.00E-02,,,,
k1_54,5.50E-07,,,,
k1_55,4.40E-04,,,,
k1_56,4.48E-07,,,,
k1_57,1.12E-04,,,,
k1_58,7.80E-06,,,,
k1_59,2.17E-03,,,,
k1_60,8.63E-07,,,,
k1_61,4.40E-04,,,,
k1_62,4.91E-07,,,,
k1_63,1.57E-04,,,,
k1_64,1.63E-06,,,,
k1_65,5.21E-03,,,,
k1_66,5.18E-08,,#0.00000518,,
k1_67,4.40E-04,,,,
k1_68,3.24E-03,,,,
k1_69,3.36E-04,,,,
k1_70,3.25E-07,,#0.0000325,,
k1_71,2.60E-04,,,,
k1_72,6.00E-06,,,,
k1_73,6.00E-02,,,,
k1_74,6.00E+01,,,,
k1_75,2.07E-03,,,,
k1_76,6.00E-02,,,,
k1_77,6.00E+01,,,,
k1_78,6.00E-06,,,,
k1_79,6.00E-02,,,,
k1_80,6.00E+01,,,,
k1_81,5.50E-06,,#0.0000055,,
k1_82,4.40E-04,,,,
k1_83,3.25E-05,,,,
k1_84,2.60E-04,,,,
k1_85,0.000857142,,,,
k1_86,0.06,,,,
k1_87,0.000857142,,,,
k1_88,0.06,,,,
k1_89,0.000857142,,,,
k1_90,0.06,,,,
k1_91,0.000857142,,,,
k1_92,0.06,,,,
k1_93,8.57E-04,,,,
k1_94,6.00E-02,,,,
k1_95,6.00E+01,,,,
k1_96,8.57E-04,,,,
k1_97,0.06,,,,
k1_98,60,,,,
k1_99,8.57E-04,,,,
k1_100,0.06,,,,
k1_101,60,,,,
k1_102,8.57E-04,,,,
k1_103,0.06,,,,
k1_104,60,,,,
k1_105,0.0611505,,,,
k1_106,0.001444057,,,,
k1_107,1.770945418,,#477.0945418,,
k1_108,0.011552453,,,,
k1_109,1.78E+04,,#17800,#5.78E+04,#3.78E+04
k1_110,6.91E-01,,,,
k1_111,1.23E+04,,#1.23E+04,,
k1_112,6.80E-01,,,,
k1_113,22112.1818,,,,
k1_114,0.936,,,,
k1_115,65.0454817,,#526.0454817,,#13.60454817
k1_116,0.011552453,,#0.011552453,,
k1_117,1,,#1,,
k1_118,0.011552453,,#0.011552453,,
k1_119,4264.07,,#4264.07,#8264.07,#14264.07
k1_120,0.6912,,,,
k1_121,1,,,,
k1_122,0.001155245,,,,
k1_123,17.48,,,,
k1_124,0.468,,,,
k1_125,1,,,,
k1_126,0.01155245,,,,
k1_127,0.11552453,,,,
k1_128,0.011552453,,,,
k1_129,0.011552453,,,,
k1_130,9.93E-01,,,,
k1_131,9.75E-01,,,,
k1_132,6.75E-02,,,,
k1_133,0.0693,,,,
k1_134,0.993,,,,
k1_135,0.993,,,,
k1_136,6.75E-02,,,,
k1_137,6.75E-02,,,,
k1_138,6.93E-02,,,,
k1_139,6.75E-02,,,,
k1_140,6.75E-02,,,,
k1_141,6.93E-02,,,,
k1_142,6.93E-02,,,,
k1_143,6.93E-02,,,,
k1_144,6.75E-02,,,,
k1_145,6.75E-02,,,,
k1_146,6.93E-02,,,,
k1_147,6.93E-02,,,,
k1_148,0.011552453,,,,
k1_149,0.0693,,,,
k1_150,0.0693,,,,
k1_151,0.0693,,,,
k1_152,0.0675,,,,
k1_153,3001.64059,,#3001.64059,#6001.64059,#9001.64059
k1_154,0.11552453,,,,
k1_155,1.30E+03,,,,
k1_156,6.82E-02,,,,
k1_157,0.011552453,,,,
k1_158,0.011552453,,,,
k1_159,6.91E-01,,,,
k1_160,6.91E-01,,,,
k1_161,6.80E-01,,,,
k1_162,6.80E-01,,,,
k1_163,0.936,,,,
k1_164,3.75E-02,,,,
k1_165,0.11552453,,,,
k2_eps,1.00E+00,,,,
