Substrate,Products,Kinetic Law, Modifiers, Parameters
DIS Bid,DIS_Bid,Mass Action Binding,,k1_1
DIS_Bid,DIS Bid,Mass Action,,k1_2
DIS_Bid,DIS tBid,Mass Action,,k1_3
DIS Bim,DIS_Bim,Mass Action Binding,,k1_4
DIS_Bim,DIS Bim,Mass Action,,k1_5
DIS_Bim,DIS aBim,Mass Action,,k1_6
DIS Puma,DIS_Puma,Mass Action Binding,,k1_7
DIS_Puma,DIS Puma,Mass Action,,k1_8
DIS_Puma,DIS aPuma,Mass Action,,k1_9
DIS Noxa,DIS_Noxa,Mass Action Binding,,k1_10
DIS_Noxa,DIS Noxa,Mass Action,,k1_11
DIS_Noxa,DIS aNoxa,Mass Action,,k1_12
tBid BclxLc,tBid_BclxLc,Mass Action Binding,,k1_13
tBid_BclxLc,tBid BclxLc,Mass Action,,k1_14
aBim BclxLc,aBim_BclxLc,Mass Action Binding,,k1_15
aBim_BclxLc,aBim BclxLc,Mass Action,,k1_16
aBim Bcl2c,aBim_Bcl2c,Mass Action Binding,,k1_17
aBim_Bcl2c,aBim Bcl2c,Mass Action,,k1_18
aBim Mcl1c,aBim_Mcl1c,Mass Action Binding,,k1_19
aBim_Mcl1c,aBim Mcl1c,Mass Action,,k1_20
aPuma BclxLc,aPuma_BclxLc,Mass Action Binding,,k1_21
aPuma_BclxLc,aPuma BclxLc,Mass Action,,k1_22
aPuma Bcl2c,aPuma_Bcl2c,Mass Action Binding,,k1_23
aPuma_Bcl2c,aPuma Bcl2c,Mass Action,,k1_24
aPuma Mcl1c,aPuma_Mcl1c,Mass Action Binding,,k1_25
aPuma_Mcl1c,aPuma Mcl1c,Mass Action,,k1_26
aNoxa Mcl1c,aNoxa_Mcl1c,Mass Action Binding,,k1_27
aNoxa_Mcl1c,aNoxa Mcl1c,Mass Action,,k1_28
Bax,MBax,Mass Action,,k1_29
MBax,Bax,Mass Action,,k1_30
tBid,tBidm,Mass Action,,k1_31
tBidm,tBid,Mass Action,,k1_32
aBim,mBim,Mass Action,,k1_33
mBim,aBim,Mass Action,,k1_34
aPuma,mPuma,Mass Action,,k1_35
mPuma,aPuma,Mass Action,,k1_36
BclxLc,BclxL,Mass Action,,k1_37
BclxL,BclxLc,Mass Action,,k1_38
Bcl2c,Bcl2,Mass Action,,k1_39
Bcl2,Bcl2c,Mass Action,,k1_40
Mcl1c,Mcl1,Mass Action,,k1_41
Mcl1,Mcl1c,Mass Action,,k1_42
MBax mBim,MBax_mBim,Mass Action Binding,,k1_43
MBax_mBim,MBax mBim,Mass Action,,k1_44
MBax_mBim,aBax mBim,Mass Action,,k1_45
MBax tBidm,MBax_tBidm,Mass Action Binding,,k1_46
MBax_tBidm,MBax tBidm,Mass Action,,k1_47
MBax_tBidm,aBax tBidm,Mass Action,,k1_48
MBax mPuma,MBax_mPuma,Mass Action Binding,,k1_49
MBax_mPuma,MBax mPuma,Mass Action,,k1_50
MBax_mPuma,aBax mPuma,Mass Action,,k1_51
tBidm BclxL,tBidm_BclxL,Mass Action Binding,,k1_52
tBidm_BclxL,tBidm BclxL,Mass Action,,k1_53
mBim BclxL,mBim_BclxL,Mass Action Binding,,k1_54
mBim_BclxL,mBim BclxL,Mass Action,,k1_55
